Date,Wind Speed,Temp.,Humi.,heatidx,Pres.,Prec.,Vis.,PM2.5,year,month_sin,month_cos,dayofweek_sin,dayofweek_cos,dayofyear_sin,dayofyear_cos,PM2.5_lag1,PM2.5_lag2,PM2.5_lag3,PM2.5_lag7,PM2.5_lag14,PM2.5_lag30,PM2.5_rollmean3,PM2.5_rollstd3,PM2.5_rollmean7,PM2.5_rollstd7,PM2.5_rollmean14,PM2.5_rollstd14,Wind Dir_sin,Wind Dir_cos,Prec._lag1,Prec._lag2,Prec._lag3,Prec._lag7,Prec._lag14,Prec._rollsum3,Prec._rollmean3,Prec._rollsum7,Prec._rollmean7,Prec._rollsum14,Prec._rollmean14
2023-03-21,4.8,30.0,83.3,38.8,1007.3,0.0,17308,26.0,2023,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.9778483415056568,0.20931464596304847,25.0,27.0,25.0,51.0,79.0,61.0,25.666666666666668,1.15470053837924,33.714285714285715,11.324226032630063,44.285714285714285,16.945290116809847,-0.2419218955996675,-0.9702957262759965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999999999999645,0.14285714285714032
2023-03-22,4.5,30.1,84.7,39.4,1006.3,0.0,17877,26.0,2023,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.9813064702716093,0.19245158197082998,26.0,25.0,27.0,49.0,72.0,44.0,26.0,0.9999999999999862,30.142857142857142,8.571825387640141,40.5,14.308416028015337,-0.22495105434386498,-0.9743700647852352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999999999999645,0.14285714285714032
2023-03-23,4.7,30.3,84.5,40.0,1006.8,0.0,18784,20.0,2023,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.9844738167520922,0.1755314904214282,26.0,26.0,25.0,31.0,51.0,41.0,25.666666666666668,0.5773502691896016,26.857142857142858,2.115700942050269,37.214285714285715,11.530418442127196,-0.2588190451025208,-0.9659258262890683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999999999999645,0.14285714285714032
2023-03-24,4.3,30.4,83.7,40.0,1007.2,0.0,19145,23.0,2023,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.9873494423939864,0.15855938510313475,20.0,26.0,26.0,28.0,52.0,50.0,24.0,3.4641016151377544,25.285714285714285,2.5634797778470304,35.0,11.655305823793373,-0.22495105434386498,-0.9743700647852352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999999999999645,0.14285714285714032
2023-03-25,4.9,30.6,83.3,40.6,1007.5,0.0,18740,24.0,2023,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.989932495087353,0.141540295217043,23.0,20.0,26.0,25.0,42.0,54.0,23.0,3.0,24.571428571428573,2.3704530408868645,32.92857142857143,10.95771091840932,-0.19080899537654472,-0.981627183447664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999999999999645,0.14285714285714032
2023-03-26,4.6,29.7,82.9,37.7,1008.9,0.0,18608,21.0,2023,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.9922222094179323,0.12447926388678915,24.0,23.0,20.0,27.0,37.0,59.0,22.333333333333332,2.081665999466133,24.428571428571427,2.3704530408868676,31.642857142857142,10.867079027659873,-0.0348994967025009,-0.9993908270190958,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.9999999999999645,0.14285714285714032
2023-03-27,4.7,30.5,79.4,39.2,1007.6,0.0,19374,22.0,2023,0.8660254037844386,0.5000000000000001,0.0,1.0,0.994217906893952,0.10738134666416309,21.0,24.0,23.0,25.0,51.0,48.0,22.666666666666668,1.5275252316519483,23.571428571428573,2.3704530408868854,30.5,11.09920302059145,-0.17364817766693047,-0.984807753012208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-28,4.9,30.2,80.5,38.4,1009.4,0.0,19773,19.0,2023,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.995918996147179,0.09025161003104117,22.0,21.0,24.0,26.0,51.0,36.0,22.333333333333332,1.5275252316519483,23.142857142857142,2.340126166725372,28.428571428571427,9.581346346009877,-0.22495105434386498,-0.9743700647852352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-29,3.8,30.5,71.4,36.8,1009.1,0.0,18852,16.0,2023,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.9973249731081555,0.07309512989807777,19.0,22.0,21.0,26.0,49.0,43.0,20.666666666666668,1.5275252316519483,22.142857142857142,2.41029537806598,26.142857142857142,7.33649615444425,0.10452846326765373,-0.9945218953682733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-30,5.0,30.4,80.4,39.1,1007.5,0.0,19663,19.0,2023,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.9984354211555643,0.055916990100603484,16.0,19.0,22.0,20.0,31.0,62.0,19.0,3.000000000000001,20.714285714285715,2.6903708365386745,23.785714285714285,3.945368685678682,-0.19080899537654472,-0.981627183447664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,5.2,30.6,80.1,39.6,1007.2,0.0,18311,21.0,2023,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.9992500112396835,0.03872228089217446,19.0,16.0,19.0,23.0,28.0,55.0,18.0,1.7320508075688787,20.571428571428573,2.760262237369885,22.928571428571427,3.540193078486971,-0.17364817766693047,-0.984807753012208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,5.1,30.7,79.0,39.4,1007.5,0.0,18852,25.0,2023,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.9997685019798909,0.021516097436222254,21.0,19.0,16.0,24.0,25.0,54.0,18.666666666666668,2.516611478423584,20.285714285714285,2.5634797778471334,22.428571428571427,3.251373336211744,-0.22495105434386498,-0.9743700647852352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-02,4.9,30.7,80.5,40.0,1006.7,0.0,16973,26.0,2023,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.9999907397361901,0.004303538296244289,25.0,21.0,19.0,21.0,27.0,46.0,21.666666666666668,3.055050463303893,20.428571428571427,2.819996622761019,22.428571428571427,3.251373336211744,-0.2588190451025208,-0.9659258262890683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-03,4.0,31.6,61.9,36.7,1006.4,0.0,14023,35.0,2023,1.0,6.123233995736766e-17,0.0,1.0,0.9999166586547379,-0.01291029607500882,26.0,25.0,21.0,22.0,25.0,59.0,24.0,2.64575131106459,21.142857142857142,3.5321651258389655,22.357142857142858,3.1527068432635095,-0.22495105434386498,-0.9743700647852352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-04,3.7,31.5,69.1,38.6,1005.9,0.0,12126,46.0,2023,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.9995462806873573,-0.030120304846908114,35.0,26.0,25.0,19.0,26.0,58.0,28.666666666666668,5.507570547286101,23.0,6.350852961086065,23.071428571428573,4.598733700525792,-0.3090169943749473,-0.9510565162951536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-05,3.4,31.6,60.5,36.3,1006.6,0.0,12251,51.0,2023,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.9988797155850336,-0.04732138832243185,46.0,35.0,26.0,16.0,26.0,63.0,35.666666666666664,10.016652800877813,26.857142857142858,10.4151903715771,24.5,7.663600278639862,-0.3090169943749473,-0.9510565162951536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-06,3.5,30.7,78.7,39.5,1007.4,0.0,12237,43.0,2023,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.9979171608653922,-0.06450844944931623,51.0,46.0,35.0,19.0,20.0,79.0,44.0,8.185352771872452,31.857142857142858,12.52236095189422,26.285714285714285,10.447145885018385,-0.08715574274765794,-0.9961946980917455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-07,2.7,29.6,77.7,35.8,1009.6,0.0,18035,30.0,2023,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.9966589017541702,-0.08167639533042241,43.0,51.0,46.0,21.0,23.0,72.0,46.666666666666664,4.041451884327383,35.285714285714285,11.672107574816817,27.928571428571427,11.166324963335624,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-08,3.5,30.9,75.5,39.0,1010.9,0.0,16905,23.0,2023,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.9951053111006976,-0.09882013873287143,30.0,43.0,51.0,25.0,24.0,51.0,41.333333333333336,10.5987420637231,36.57142857142857,10.24462693085413,28.428571428571427,11.08508551519202,0.10452846326765373,-0.9945218953682733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
