Date,PM2.5
2013-07-26,18.0
2013-07-27,30.0
2013-07-28,26.0
2013-07-29,16.0
2013-07-30,19.0
2013-07-31,22.0
2013-08-01,27.0
2013-08-02,26.0
2013-08-03,24.0
2013-08-04,20.0
2013-08-05,29.0
2013-08-06,32.0
2013-08-07,27.0
2013-08-08,24.0
2013-08-09,25.0
2013-08-10,25.0
2013-08-11,24.0
2013-08-12,22.0
2013-08-13,18.0
2013-08-14,16.0
2013-08-15,16.0
2013-08-16,17.0
2013-08-17,18.0
2013-08-18,22.0
2013-08-19,20.0
2013-08-20,17.0
2013-08-21,21.0
2013-08-22,23.0
2013-08-23,22.0
2013-08-24,27.0
2013-08-25,23.0
2013-08-26,25.0
2013-08-27,25.0
2013-08-28,33.0
2013-08-29,23.0
2013-08-30,23.0
2013-08-31,37.0
2013-09-01,29.0
2013-09-02,21.0
2013-09-03,
2013-09-04,
2013-09-05,43.0
2013-09-06,38.0
2013-09-07,34.0
2013-09-08,40.0
2013-09-09,32.0
2013-09-10,42.0
2013-09-11,31.0
2013-09-12,41.0
2013-09-13,45.0
2013-09-14,35.0
2013-09-15,29.0
2013-09-16,20.0
2013-09-17,25.0
2013-09-18,30.0
2013-09-19,20.0
2013-09-20,18.0
2013-09-21,21.0
2013-09-22,18.0
2013-09-23,
2013-09-24,21.0
2013-09-25,18.0
2013-09-26,29.0
2013-09-27,25.0
2013-09-28,31.0
2013-09-29,35.0
2013-09-30,
2013-10-01,
2013-10-02,
2013-10-03,
2013-10-04,
2013-10-05,
2013-10-06,
2013-10-07,
2013-10-08,
2013-10-09,
2013-10-10,19.0
2013-10-11,33.0
2013-10-12,
2013-10-13,51.0
2013-10-14,
2013-10-15,
2013-10-16,
2013-10-17,
2013-10-18,
2013-10-19,48.0
2013-10-20,
2013-10-21,14.0
2013-10-22,26.0
2013-10-23,30.0
2013-10-24,9.0
2013-10-25,27.0
2013-10-26,30.0
2013-10-27,29.0
2013-10-28,29.0
2013-10-29,31.0
2013-10-30,
2013-10-31,
2013-11-01,
2013-11-02,
2013-11-03,45.0
2013-11-04,36.0
2013-11-05,
2013-11-06,
2013-11-07,
2013-11-08,
2013-11-09,
2013-11-10,73.0
2013-11-11,84.0
2013-11-12,26.0
2013-11-13,
2013-11-14,
2013-11-15,
2013-11-16,
2013-11-17,
2013-11-18,
2013-11-19,
2013-11-20,
2013-11-21,
2013-11-22,
2013-11-23,
2013-11-24,
2013-11-25,
2013-11-26,
2013-11-27,
2013-11-28,
2013-11-29,
2013-11-30,
2013-12-01,
2013-12-02,
2013-12-03,
2013-12-04,
2013-12-05,
2013-12-06,
2013-12-07,
2013-12-08,
2013-12-09,
2013-12-10,
2013-12-11,
2013-12-12,
2013-12-13,
2013-12-14,
2013-12-15,
2013-12-16,
2013-12-17,
2013-12-18,
2013-12-19,
2013-12-20,
2013-12-21,
2013-12-22,
2013-12-23,
2013-12-24,
2013-12-25,
2013-12-26,
2013-12-27,
2013-12-28,
2013-12-29,
2013-12-30,
2013-12-31,
2014-01-01,
2014-01-02,
2014-01-03,
2014-01-04,
2014-01-05,
2014-01-06,
2014-01-07,
2014-01-08,
2014-01-09,
2014-01-10,
2014-01-11,
2014-01-12,
2014-01-13,
2014-01-14,
2014-01-15,
2014-01-16,
2014-01-17,
2014-01-18,
2014-01-19,
2014-01-20,
2014-01-21,
2014-01-22,
2014-01-23,
2014-01-24,
2014-01-25,
2014-01-26,
2014-01-27,
2014-01-28,
2014-01-29,
2014-01-30,
2014-01-31,
2014-02-01,
2014-02-02,
2014-02-03,
2014-02-04,
2014-02-05,
2014-02-06,
2014-02-07,
2014-02-08,
2014-02-09,
2014-02-10,
2014-02-11,
2014-02-12,
2014-02-13,
2014-02-14,
2014-02-15,
2014-02-16,
2014-02-17,
2014-02-18,
2014-02-19,
2014-02-20,
2014-02-21,
2014-02-22,
2014-02-23,
2014-02-24,
2014-02-25,
2014-02-26,
2014-02-27,
2014-02-28,
2014-03-01,
2014-03-02,
2014-03-03,
2014-03-04,
2014-03-05,
2014-03-06,
2014-03-07,
2014-03-08,
2014-03-09,
2014-03-10,
2014-03-11,44.0
2014-03-12,44.0
2014-03-13,58.0
2014-03-14,44.0
2014-03-15,39.0
2014-03-16,50.0
2014-03-17,40.0
2014-03-18,28.0
2014-03-19,28.0
2014-03-20,36.0
2014-03-21,54.0
2014-03-22,47.0
2014-03-23,63.0
2014-03-24,64.0
2014-03-25,48.0
2014-03-26,39.0
2014-03-27,44.0
2014-03-28,43.0
2014-03-29,43.0
2014-03-30,31.0
2014-03-31,28.0
2014-04-01,33.0
2014-04-02,44.0
2014-04-03,40.0
2014-04-04,36.0
2014-04-05,48.0
2014-04-06,50.0
2014-04-07,31.0
2014-04-08,56.0
2014-04-09,68.0
2014-04-10,76.0
2014-04-11,72.0
2014-04-12,70.0
2014-04-13,72.0
2014-04-14,60.0
2014-04-15,43.0
2014-04-16,37.0
2014-04-17,39.0
2014-04-18,38.0
2014-04-19,38.0
2014-04-20,34.0
2014-04-21,33.0
2014-04-22,33.0
2014-04-23,41.0
2014-04-24,34.0
2014-04-25,39.0
2014-04-26,33.0
2014-04-27,31.0
2014-04-28,38.0
2014-04-29,42.0
2014-04-30,38.0
2014-05-01,35.0
2014-05-02,49.0
2014-05-03,41.0
2014-05-04,42.0
2014-05-05,39.0
2014-05-06,50.0
2014-05-07,38.0
2014-05-08,
2014-05-09,
2014-05-10,
2014-05-11,
2014-05-12,
2014-05-13,
2014-05-14,
2014-05-15,
2014-05-16,
2014-05-17,24.0
2014-05-18,21.0
2014-05-19,19.0
2014-05-20,18.0
2014-05-21,19.0
2014-05-22,17.0
