Date,61T,54T,24T,26T,27T,30T,36T,40T,46T,44T
6/9/2014,N/A,19,21,N/A,14,7,10,5,7,25
7/9/2014,6,21,15,5,13,6,N/A,6,7,22
8/9/2014,4,17,27,5,10,8,11,4,11,21
9/9/2014,N/A,20,27,4,10,6,15,5,16,15
10/9/2014,N/A,21,29,5,12,8,15,10,12,17
11/9/2014,7,22,26,7,12,7,15,N/A,11,13
12/9/2014,6,24,26,8,12,11,15,14,9,15
13/9/2014,6,22,27,7,13,10,16,10,11,15
14/9/2014,7,21,23,8,12,11,14,10,10,12
15/9/2014,7,26,24,10,13,11,15,N/A,10,8
16/9/2014,4,25,18,8,12,10,8,N/A,10,20
17/9/2014,N/A,14,15,3,4,6,10,N/A,6,27
18/9/2014,5,20,26,5,4,9,10,N/A,8,34
19/9/2014,6,29,33,7,10,15,N/A,N/A,15,29
20/9/2014,9,24,49,9,11,15,14,N/A,13,29
21/9/2014,6,23,32,11,11,9,13,N/A,13,19
22/9/2014,11,25,34,14,11,9,12,N/A,8,21
23/9/2014,7,21,29,14,12,12,15,13,9,17
24/9/2014,9,30,31,11,8,N/A,16,9,8,29
25/9/2014,13,32,33,9,20,9,10,N/A,22,27
26/9/2014,9,29,35,9,N/A,9,9,N/A,17,27
27/9/2014,10,29,44,11,11,10,11,N/A,21,32
28/9/2014,13,29,40,14,13,14,13,N/A,15,34
29/9/2014,10,26,34,10,17,15,15,N/A,10,24
30/9/2014,16,32,29,17,33,17,12,N/A,13,11
1/10/2014,13,38,33,19,37,19,16,12,8,23
2/10/2014,12,29,32,13,35,19,17,16,11,20
3/10/2014,18,37,38,12,27,23,18,14,N/A,17
4/10/2014,18,37,44,14,16,14,16,18,N/A,19
5/10/2014,10,30,37,14,20,10,11,16,N/A,12
6/10/2014,8,25,35,16,26,10,11,11,N/A,15
7/10/2014,17,27,58,23,17,10,27,26,N/A,17
8/10/2014,9,24,41,7,9,N/A,42,40,N/A,37
9/10/2014,14,32,35,12,31,N/A,43,40,N/A,24
10/10/2014,9,25,36,6,14,41,34,37,N/A,20
