Date,59T ,61T,54T ,24T ,26T ,27T,30T ,32T,36T ,40T,46T,44T 
16/6/2015,10,18,20,53,13,11,15,9,10,11,22,N/A
17/6/2015,9,19,24,38,13,12,10,7,14,15,13,N/A
18/6/2015,10,21,22,36,10,10,13,8,14,14,14,N/A
19/6/2015,17,23,25,40,14,20,11,11,8,9,16,N/A
20/6/2015,12,21,22,39,12,16,7,10,11,10,18,N/A
21/6/2015,10,19,19,35,10,12,11,10,11,10,16,N/A
22/6/2015,13,23,16,40,18,18,16,16,12,12,15,N/A
23/6/2015,18,25,17,40,18,24,13,16,16,11,22,N/A
24/6/2015,15,22,22,37,14,16,12,13,15,16,17,N/A
25/6/2015,12,19,20,35,12,8,11,11,13,13,17,N/A
26/6/2015,10,21,21,37,12,9,15,14,11,11,17,N/A
27/6/2015,8,18,21,38,10,9,15,11,13,10,14,N/A
28/6/2015,8,19,26,41,11,10,17,15,10,10,16,N/A
29/6/2015,13,20,21,N/A,10,12,9,11,12,10,15,N/A
30/6/2015,13,20,21,39,13,18,12,10,15,14,16,N/A
1/7/2015,13,20,27,41,13,15,N/A,12,17,15,20,N/A
2/7/2015,15,24,22,45,14,20,14,13,16,18,20,N/A
3/7/2015,14,22,22,39,13,20,15,13,16,14,16,N/A
4/7/2015,21,25,23,44,18,25,16,14,16,17,18,N/A
5/7/2015,13,19,16,38,13,N/A,13,10,11,9,18,N/A
6/7/2015,16,24,28,45,19,N/A,17,14,12,13,16,N/A
7/7/2015,26,30,30,49,23,17,24,19,16,15,22,N/A
8/7/2015,27,34,33,56,23,28,30,23,15,14,16,N/A
9/7/2015,30,34,36,55,25,31,27,23,14,12,16,N/A
10/7/2015,26,33,35,51,23,26,29,20,22,19,25,N/A
11/7/2015,23,29,30,48,16,25,22,18,14,18,22,N/A
12/7/2015,11,18,23,39,11,12,15,10,14,13,21,N/A
13/7/2015,15,22,25,40,N/A,19,18,14,16,11,17,N/A
14/7/2015,20,25,N/A,48,15,18,13,13,13,11,14,N/A
15/7/2015,16,N/A,N/A,44,12,10,13,11,13,11,19,N/A
16/7/2015,N/A,N/A,N/A,40,11,7,17,10,13,8,16,N/A
17/7/2015,9,19,N/A,43,11,7,17,11,9,9,18,N/A
18/7/2015,8,18,13,39,13,10,15,12,11,11,16,N/A
19/7/2015,9,16,16,40,14,7,12,9,9,11,17,N/A
20/7/2015,11,17,21,40,12,8,14,10,16,11,14,N/A
21/7/2015,7,16,20,40,10,5,9,10,12,6,13,N/A
22/7/2015,9,20,20,41,15,13,8,10,11,7,16,N/A
23/7/2015,8,17,19,39,17,8,8,12,11,8,17,N/A
24/7/2015,12,22,23,43,18,15,13,14,10,7,15,N/A
25/7/2015,15,23,23,43,22,16,14,14,12,7,15,N/A
26/7/2015,14,23,29,42,18,16,16,15,10,6,15,N/A
27/7/2015,17,24,24,46,17,15,19,15,10,7,18,N/A
28/7/2015,10,23,32,N/A,16,11,19,11,10,8,16,N/A
